locus_tag	ftype	length_bp	gene	EC_number	COG	product
MNHNOIJP_01253	CDS	588				hypothetical protein
MNHNOIJP_01254	CDS	1104				hypothetical protein
MNHNOIJP_01255	CDS	1647				hypothetical protein
MNHNOIJP_01256	CDS	453				hypothetical protein
MNHNOIJP_01257	CDS	285				hypothetical protein
MNHNOIJP_01258	CDS	684				hypothetical protein
MNHNOIJP_01259	CDS	981	btuF_1			Vitamin B12-binding protein
MNHNOIJP_01260	CDS	795	fecE		COG1120	Fe(3+) dicitrate transport ATP-binding protein FecE
MNHNOIJP_01261	CDS	1068	btuC			Vitamin B12 import system permease protein BtuC
MNHNOIJP_01262	CDS	1260	entS_1			Enterobactin exporter EntS
MNHNOIJP_01263	CDS	222				hypothetical protein
MNHNOIJP_01264	CDS	813				hypothetical protein
MNHNOIJP_01265	CDS	222				hypothetical protein
MNHNOIJP_01266	CDS	795	lin	3.4.-.-		Linocin-M18
MNHNOIJP_01267	CDS	327				hypothetical protein
MNHNOIJP_01268	CDS	825				hypothetical protein
MNHNOIJP_01269	CDS	471	decR		COG1522	DNA-binding transcriptional activator DecR
MNHNOIJP_01270	CDS	1128	bkdA_1	1.2.4.4	COG1071	3-methyl-2-oxobutanoate dehydrogenase subunit alpha
MNHNOIJP_01271	CDS	1005	bkdB	1.2.4.4	COG0022	3-methyl-2-oxobutanoate dehydrogenase subunit beta
MNHNOIJP_01272	CDS	1224	bkdC	2.3.1.168	COG0508	Dihydrolipoyllysine-residue acyltransferase component of branched-chain alpha-ketoacid dehydrogenase complex
MNHNOIJP_01273	CDS	1395	lpd	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
MNHNOIJP_01274	CDS	1107	pdh	1.4.1.20		Phenylalanine dehydrogenase
MNHNOIJP_01275	CDS	909				hypothetical protein
MNHNOIJP_01276	CDS	909				hypothetical protein
MNHNOIJP_01277	CDS	678		1.-.-.-	COG4221	putative oxidoreductase
MNHNOIJP_01278	CDS	927			COG0803	putative periplasmic iron-binding protein
MNHNOIJP_01279	CDS	732	mntB_1		COG1121	Manganese transport system ATP-binding protein MntB
MNHNOIJP_01280	CDS	909	mntB_2			Manganese transport system membrane protein MntB
MNHNOIJP_01281	CDS	1557				hypothetical protein
MNHNOIJP_01282	CDS	264				hypothetical protein
MNHNOIJP_01283	CDS	681				hypothetical protein
MNHNOIJP_01284	CDS	1431				hypothetical protein
MNHNOIJP_01285	CDS	723	lutR_1		COG2186	HTH-type transcriptional regulator LutR
MNHNOIJP_01286	CDS	819		2.4.2.-	COG2071	Putative glutamine amidotransferase
MNHNOIJP_01287	CDS	774	fabG_2	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
MNHNOIJP_01288	CDS	1377	ipuC	6.3.2.-		Glutamate--isopropylamine ligase
MNHNOIJP_01289	CDS	1464		1.2.1.3		Putative aldehyde dehydrogenase
MNHNOIJP_01290	CDS	519				hypothetical protein
MNHNOIJP_01291	CDS	1506	mdtG			Multidrug resistance protein MdtG
MNHNOIJP_01292	CDS	708				hypothetical protein
MNHNOIJP_01293	CDS	651	olsG_1	2.1.1.344		Ornithine lipid N-methyltransferase
MNHNOIJP_01294	CDS	2847	leuS_2	6.1.1.4	COG0495	Leucine--tRNA ligase
MNHNOIJP_01295	CDS	540				hypothetical protein
MNHNOIJP_01296	CDS	327				hypothetical protein
MNHNOIJP_01297	CDS	897				hypothetical protein
MNHNOIJP_01298	CDS	459				hypothetical protein
MNHNOIJP_01299	CDS	384				hypothetical protein
MNHNOIJP_01300	CDS	1449				hypothetical protein
MNHNOIJP_01301	CDS	117				hypothetical protein
MNHNOIJP_01302	CDS	1650	lcfB_2	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
MNHNOIJP_01303	CDS	954				hypothetical protein
MNHNOIJP_01304	CDS	927	betI_1			HTH-type transcriptional regulator BetI
MNHNOIJP_01305	CDS	1680		4.2.1.53	COG4716	Oleate hydratase
MNHNOIJP_01306	CDS	378				putative proteinA
MNHNOIJP_01307	CDS	972	cdhR_1		COG4977	HTH-type transcriptional regulator CdhR
MNHNOIJP_01308	CDS	1317				L-lactate transporter
MNHNOIJP_01309	CDS	1554	gabD2_1	1.2.1.79	COG1012	Putative succinate-semialdehyde dehydrogenase [NADP(+)] 2
MNHNOIJP_01310	CDS	444				hypothetical protein
MNHNOIJP_01311	CDS	1074				hypothetical protein
MNHNOIJP_01312	CDS	939				hypothetical protein
MNHNOIJP_01313	CDS	258	whiB_1			Transcriptional regulator WhiB
MNHNOIJP_01314	CDS	531	cas9	3.1.-.-		CRISPR-associated endonuclease Cas9
MNHNOIJP_01315	CDS	1011	ltaA	4.1.2.49		L-allo-threonine aldolase
MNHNOIJP_01316	CDS	855				hypothetical protein
MNHNOIJP_01317	CDS	1629				hypothetical protein
MNHNOIJP_01318	CDS	1623	dmdB	6.2.1.44	COG0318	3-methylmercaptopropionyl-CoA ligase
MNHNOIJP_01319	CDS	606	kstR2_1			HTH-type transcriptional repressor KstR2
MNHNOIJP_01320	CDS	762		1.-.-.-		putative oxidoreductase
MNHNOIJP_01321	CDS	1194	fadA_1	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase
MNHNOIJP_01322	CDS	2583	ramC	2.7.-.-	COG0515	putative SapB synthase
MNHNOIJP_01323	CDS	114				hypothetical protein
MNHNOIJP_01324	CDS	348				hypothetical protein
MNHNOIJP_01325	CDS	2214	rep_1	3.6.4.12		ATP-dependent DNA helicase Rep
MNHNOIJP_01326	CDS	6429	srmB	3.6.4.13		ATP-dependent RNA helicase SrmB
MNHNOIJP_01327	CDS	4722				hypothetical protein
MNHNOIJP_01328	CDS	1113				hypothetical protein
MNHNOIJP_01329	CDS	219				hypothetical protein
MNHNOIJP_01330	CDS	2634	clpB_1		COG0542	Chaperone protein ClpB
MNHNOIJP_01331	CDS	453	resA_2			Thiol-disulfide oxidoreductase ResA
MNHNOIJP_01332	CDS	267				hypothetical protein
MNHNOIJP_01333	CDS	1728		1.18.1.2		Ferredoxin--NADP reductase
MNHNOIJP_01334	CDS	450				hypothetical protein
MNHNOIJP_01335	CDS	606				hypothetical protein
MNHNOIJP_01336	CDS	327				hypothetical protein
MNHNOIJP_01337	CDS	462				18 kDa heat shock protein
MNHNOIJP_01338	CDS	462				hypothetical protein
MNHNOIJP_01339	CDS	2658				hypothetical protein
MNHNOIJP_01340	CDS	456	rplI_2		COG0359	50S ribosomal protein L9
MNHNOIJP_01341	CDS	243	rpsR2		COG0238	30S ribosomal protein S18 2
MNHNOIJP_01342	CDS	525	ssb_2		COG0629	Single-stranded DNA-binding protein
MNHNOIJP_01343	CDS	288	rpsF		COG0360	30S ribosomal protein S6
MNHNOIJP_01344	CDS	1356				hypothetical protein
MNHNOIJP_01345	CDS	657				hypothetical protein
MNHNOIJP_01346	CDS	546				hypothetical protein
MNHNOIJP_01347	CDS	1230	recF		COG1195	DNA replication and repair protein RecF
MNHNOIJP_01348	CDS	909		1.1.1.343	COG1023	6-phosphogluconate dehydrogenase, NAD(+)-dependent, decarboxylating
MNHNOIJP_01349	CDS	1212	dnaN_2		COG0592	Beta sliding clamp
MNHNOIJP_01350	CDS	1563	dnaA_2		COG0593	Chromosomal replication initiator protein DnaA
MNHNOIJP_01351	CDS	240				hypothetical protein
MNHNOIJP_01352	CDS	381	rnpA_2	3.1.26.5	COG0594	Ribonuclease P protein component
MNHNOIJP_01353	CDS	381	yidD			Putative membrane protein insertion efficiency factor
MNHNOIJP_01354	CDS	1107	yidC_2		COG0706	Membrane protein insertase YidC
MNHNOIJP_01355	CDS	564				hypothetical protein
MNHNOIJP_01356	CDS	345				hypothetical protein
MNHNOIJP_01357	CDS	492				hypothetical protein
MNHNOIJP_01358	CDS	369				hypothetical protein
MNHNOIJP_01359	CDS	210				hypothetical protein
MNHNOIJP_01360	CDS	672	rsmG_2	2.1.1.-	COG0357	Ribosomal RNA small subunit methyltransferase G
MNHNOIJP_01361	CDS	1194	yhaP		COG1668	putative protein YhaP
MNHNOIJP_01362	CDS	897	lnrL_1	3.6.3.-	COG1131	Linearmycin resistance ATP-binding protein LnrL
MNHNOIJP_01363	CDS	546				hypothetical protein
MNHNOIJP_01364	CDS	324				hypothetical protein
MNHNOIJP_01365	CDS	420				hypothetical protein
MNHNOIJP_01366	CDS	414	yycE			putative protein YycE
MNHNOIJP_01367	CDS	576				putative HTH-type transcriptional regulator
MNHNOIJP_01368	CDS	840		1.-.-.-	COG0656	putative oxidoreductase/MSMEI_2347
MNHNOIJP_01369	CDS	1632	ettA		COG0488	Energy-dependent translational throttle protein EttA
MNHNOIJP_01370	CDS	597	COQ3_1	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
MNHNOIJP_01371	CDS	882		1.-.-.-	COG0656	putative oxidoreductase/MSMEI_2347
MNHNOIJP_01372	CDS	1164		1.-.-.-		NADH oxidase
MNHNOIJP_01373	CDS	1800	ctaD_1	1.9.3.1	COG0843	putative cytochrome c oxidase subunit 1
MNHNOIJP_01374	CDS	834				hypothetical protein
MNHNOIJP_01375	CDS	618				hypothetical protein
MNHNOIJP_01376	CDS	972				hypothetical protein
MNHNOIJP_01377	CDS	1986				hypothetical protein
MNHNOIJP_01378	CDS	1245				hypothetical protein
MNHNOIJP_01379	CDS	987	alc	3.5.3.4		allantoicase
MNHNOIJP_01380	CDS	930				hypothetical protein
MNHNOIJP_01381	CDS	912	sadH_1	1.-.-.-		Putative oxidoreductase SadH
MNHNOIJP_01382	CDS	921				hypothetical protein
MNHNOIJP_01383	CDS	1488		1.14.13.-	COG2072	Baeyer-Villiger monooxygenase
MNHNOIJP_01384	CDS	753				hypothetical protein
MNHNOIJP_01385	CDS	567	nboR	1.1.1.328		Nicotine blue oxidoreductase
MNHNOIJP_01386	CDS	804				hypothetical protein
MNHNOIJP_01387	CDS	972	aes_2	3.1.1.-		Acetyl esterase
MNHNOIJP_01388	CDS	171				hypothetical protein
MNHNOIJP_01389	CDS	531		2.7.1.12	COG3265	Gluconokinase
MNHNOIJP_01390	CDS	1389	idnT		COG2610	Gnt-II system L-idonate transporter
MNHNOIJP_01391	CDS	729	rspR_1		COG1802	HTH-type transcriptional repressor RspR
MNHNOIJP_01392	CDS	1008	gpsA2	1.1.1.94	COG0240	putative glycerol-3-phosphate dehydrogenase 2 [NAD(P)+]
MNHNOIJP_01393	CDS	837	hcaB_1	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
MNHNOIJP_01394	CDS	720				hypothetical protein
MNHNOIJP_01395	CDS	1194				hypothetical protein
MNHNOIJP_01396	CDS	1023	dadA_1	1.4.99.-		D-amino acid dehydrogenase
MNHNOIJP_01397	CDS	597				hypothetical protein
MNHNOIJP_01398	CDS	759	novJ	1.1.1.-		Short-chain reductase protein NovJ
MNHNOIJP_01399	CDS	1035	thiK	2.7.1.89		Thiamine kinase
MNHNOIJP_01400	CDS	783	baiA_1	1.1.1.392		3-alpha-hydroxycholanate dehydrogenase (NADP(+))
MNHNOIJP_01401	CDS	1221	bbsG_1	1.3.8.3		(R)-benzylsuccinyl-CoA dehydrogenase
MNHNOIJP_01402	CDS	804	echA8_1	4.2.1.17	COG1024	putative enoyl-CoA hydratase echA8
MNHNOIJP_01403	CDS	822	hcaB_2	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
MNHNOIJP_01404	CDS	477		4.2.1.17	COG2030	putative enoyl-CoA hydratase 1
MNHNOIJP_01405	CDS	681	betI_2			HTH-type transcriptional regulator BetI
MNHNOIJP_01406	CDS	1503	lcfB_3	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
MNHNOIJP_01407	CDS	288	ycnE	1.-.-.-	COG1359	Putative monooxygenase YcnE
MNHNOIJP_01408	CDS	672				hypothetical protein
MNHNOIJP_01409	CDS	675				hypothetical protein
MNHNOIJP_01410	CDS	852	abaF_1			Fosfomycin resistance protein AbaF
MNHNOIJP_01411	CDS	576				hypothetical protein
MNHNOIJP_01412	CDS	540				hypothetical protein
MNHNOIJP_01413	CDS	597				hypothetical protein
MNHNOIJP_01414	CDS	348				hypothetical protein
MNHNOIJP_01415	CDS	648	fadR_1			Fatty acid metabolism regulator protein
MNHNOIJP_01416	CDS	777		5.1.1.13	COG1794	Aspartate racemase
MNHNOIJP_01417	CDS	300				hypothetical protein
MNHNOIJP_01418	CDS	864	carA_1	6.3.5.5		Carbamoyl-phosphate synthase small chain
MNHNOIJP_01419	CDS	1161				hypothetical protein
MNHNOIJP_01420	CDS	1263				hypothetical protein
MNHNOIJP_01421	CDS	1089		1.1.1.306		S-(hydroxymethyl)mycothiol dehydrogenase
MNHNOIJP_01422	CDS	627	gloB_1	3.1.2.6		Hydroxyacylglutathione hydrolase
MNHNOIJP_01423	CDS	1020	srkA	2.7.11.1		Stress response kinase A
MNHNOIJP_01424	CDS	420				hypothetical protein
MNHNOIJP_01425	CDS	492	lrp_1		COG1522	Leucine-responsive regulatory protein
MNHNOIJP_01426	CDS	816				hypothetical protein
MNHNOIJP_01427	CDS	405				hypothetical protein
MNHNOIJP_01428	CDS	684		1.-.-.-		putative oxidoreductase
MNHNOIJP_01429	CDS	609				hypothetical protein
MNHNOIJP_01430	CDS	966				hypothetical protein
MNHNOIJP_01431	CDS	897	yghA	1.-.-.-		putative oxidoreductase YghA
MNHNOIJP_01432	CDS	627	paiB		COG2808	Protease synthase and sporulation protein PAI 2
MNHNOIJP_01433	CDS	1335	ptsJ		COG1167	Vitamin B6 salvage pathway transcriptional repressor PtsJ
MNHNOIJP_01434	CDS	705				hypothetical protein
MNHNOIJP_01435	CDS	369				hypothetical protein
MNHNOIJP_01436	CDS	1347	yhdG_1		COG0531	putative amino acid permease YhdG
MNHNOIJP_01437	CDS	672				hypothetical protein
MNHNOIJP_01438	CDS	945	rhaS_2			HTH-type transcriptional activator RhaS
MNHNOIJP_01439	CDS	495	soj_7	3.6.-.-	COG1192	Sporulation initiation inhibitor protein Soj
MNHNOIJP_01440	CDS	1041	parB		COG1475	putative chromosome-partitioning protein ParB
MNHNOIJP_01441	CDS	684				hypothetical protein
MNHNOIJP_01442	CDS	1191	cwlM	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase CwlM
MNHNOIJP_01443	CDS	324	trxA		COG0526	Thioredoxin
MNHNOIJP_01444	CDS	1008	trxB_2	1.8.1.9	COG0492	Thioredoxin reductase
MNHNOIJP_01445	CDS	1212		1.16.1.-	COG0446	Metal reductase
MNHNOIJP_01446	CDS	567				hypothetical protein
MNHNOIJP_01447	CDS	717	rsmA_2			Anti-sigma-M factor RsmA
MNHNOIJP_01448	CDS	627				hypothetical protein
MNHNOIJP_01449	CDS	3021	mviN_1		COG0728	putative peptidoglycan biosynthesis protein MviN
MNHNOIJP_01450	CDS	735				hypothetical protein
MNHNOIJP_01451	CDS	1599	cotA_1		COG2132	Spore coat protein A
MNHNOIJP_01452	CDS	204				hypothetical protein
MNHNOIJP_01453	CDS	1557				hypothetical protein
MNHNOIJP_01454	CDS	6111	acpP_2			Acyl carrier protein
MNHNOIJP_01455	CDS	411				hypothetical protein
MNHNOIJP_01456	CDS	690	phy	3.7.1.4		Phloretin hydrolase
MNHNOIJP_01457	CDS	1236	genK_1		COG0477	Gentisate transporter
MNHNOIJP_01458	CDS	738	srpS			HTH-type transcriptional regulator SrpS
MNHNOIJP_01459	CDS	408				hypothetical protein
MNHNOIJP_01460	CDS	1248				hypothetical protein
MNHNOIJP_01461	CDS	720	lutR_2		COG2186	HTH-type transcriptional regulator LutR
MNHNOIJP_01462	CDS	852				hypothetical protein
MNHNOIJP_01463	CDS	555				hypothetical protein
MNHNOIJP_01464	CDS	888		2.1.1.-		Putative S-adenosyl-L-methionine-dependent methyltransferase
MNHNOIJP_01465	CDS	1407				hypothetical protein
MNHNOIJP_01466	CDS	102				hypothetical protein
MNHNOIJP_01467	CDS	354				hypothetical protein
MNHNOIJP_01468	CDS	204	lutC		COG1556	Lactate utilization protein C
MNHNOIJP_01469	CDS	816		1.-.-.-	COG1028	putative NAD-dependent oxidoreductase
MNHNOIJP_01470	CDS	639				hypothetical protein
MNHNOIJP_01471	CDS	477				hypothetical protein
MNHNOIJP_01472	CDS	345				hypothetical protein
MNHNOIJP_01473	CDS	1242				hypothetical protein
MNHNOIJP_01474	CDS	579				hypothetical protein
MNHNOIJP_01475	CDS	609				hypothetical protein
MNHNOIJP_01476	CDS	1182	mmgC_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
MNHNOIJP_01477	CDS	762	fabG_3	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
MNHNOIJP_01478	CDS	648				hypothetical protein
MNHNOIJP_01479	CDS	462				hypothetical protein
MNHNOIJP_01480	CDS	666	betI_3			HTH-type transcriptional regulator BetI
MNHNOIJP_01481	CDS	615				hypothetical protein
MNHNOIJP_01482	CDS	930				hypothetical protein
MNHNOIJP_01483	CDS	180				hypothetical protein
MNHNOIJP_01484	CDS	297				hypothetical protein
MNHNOIJP_01485	CDS	270				hypothetical protein
MNHNOIJP_01486	CDS	750	allR		COG1414	HTH-type transcriptional repressor AllR
MNHNOIJP_01487	CDS	471				hypothetical protein
MNHNOIJP_01488	CDS	672	qmcA		COG0330	Protein QmcA
MNHNOIJP_01489	CDS	1239				hypothetical protein
MNHNOIJP_01490	CDS	708				hypothetical protein
MNHNOIJP_01491	CDS	1386	gabR_1		COG1167	HTH-type transcriptional regulatory protein GabR
MNHNOIJP_01492	CDS	2118		1.-.-.-		NADH oxidase
MNHNOIJP_01493	CDS	1020	vldW_1	1.14.11.52		Validamycin A dioxygenase
MNHNOIJP_01494	CDS	888	ino1	5.5.1.4	COG1260	Inositol-3-phosphate synthase
MNHNOIJP_01495	CDS	741				hypothetical protein
MNHNOIJP_01496	CDS	165				hypothetical protein
MNHNOIJP_01497	CDS	900	tauD_1	1.14.11.17	COG2175	Alpha-ketoglutarate-dependent taurine dioxygenase
MNHNOIJP_01498	CDS	975	qorA_1	1.6.5.5	COG0604	Quinone oxidoreductase 1
MNHNOIJP_01499	CDS	1005	virS			HTH-type transcriptional regulator VirS
MNHNOIJP_01500	CDS	1047				hypothetical protein
MNHNOIJP_01501	CDS	909				putative HTH-type transcriptional regulator
MNHNOIJP_01502	CDS	582				hypothetical protein
MNHNOIJP_01503	CDS	1356				hypothetical protein
MNHNOIJP_01504	CDS	1293			COG1167	Putative aminotransferase/MSMEI_6121
MNHNOIJP_01505	tRNA	88				tRNA-Ser(gga)
MNHNOIJP_01506	CDS	378				hypothetical protein
MNHNOIJP_01507	CDS	747				hypothetical protein
MNHNOIJP_01508	CDS	1431	efpA_1			putative MFS-type transporter EfpA
MNHNOIJP_01509	CDS	276				hypothetical protein
MNHNOIJP_01510	CDS	1323				hypothetical protein
MNHNOIJP_01511	CDS	279				hypothetical protein
MNHNOIJP_01512	CDS	960				S-adenosylmethionine/S-adenosylhomocysteine transporter
MNHNOIJP_01513	CDS	687				hypothetical protein
MNHNOIJP_01514	CDS	1503	mdtD_1			Putative multidrug resistance protein MdtD
MNHNOIJP_01515	CDS	912				hypothetical protein
MNHNOIJP_01516	CDS	1203	choD_1	1.1.3.6	COG2303	Cholesterol oxidase
MNHNOIJP_01517	CDS	648				hypothetical protein
MNHNOIJP_01518	CDS	303				hypothetical protein
MNHNOIJP_01519	CDS	834	limC_1	1.1.1.-		(-)-trans-carveol dehydrogenase
MNHNOIJP_01520	CDS	852	limC_2	1.1.1.-		(-)-trans-carveol dehydrogenase
MNHNOIJP_01521	CDS	816	yjfF			Inner membrane ABC transporter permease protein YjfF
MNHNOIJP_01522	CDS	156				hypothetical protein
MNHNOIJP_01523	CDS	1545	araG	7.5.2.12	COG1129	Arabinose import ATP-binding protein AraG
MNHNOIJP_01524	CDS	1299				hypothetical protein
MNHNOIJP_01525	CDS	918	frsA_1	3.1.-.-		Esterase FrsA
MNHNOIJP_01526	CDS	477				hypothetical protein
MNHNOIJP_01527	CDS	297				hypothetical protein
MNHNOIJP_01528	CDS	645				hypothetical protein
MNHNOIJP_01529	CDS	615				hypothetical protein
MNHNOIJP_01530	CDS	336				hypothetical protein
MNHNOIJP_01531	CDS	915				hypothetical protein
MNHNOIJP_01532	CDS	915				hypothetical protein
MNHNOIJP_01533	CDS	336				hypothetical protein
MNHNOIJP_01534	CDS	615				hypothetical protein
MNHNOIJP_01535	CDS	645				hypothetical protein
MNHNOIJP_01536	CDS	297				hypothetical protein
MNHNOIJP_01537	CDS	372	ureG		COG0378	Urease accessory protein UreG
MNHNOIJP_01538	CDS	948	ureD_1		COG0829	Urease accessory protein UreD
MNHNOIJP_01539	CDS	1044			COG4413	Urea transporter
MNHNOIJP_01540	CDS	522		2.7.1.12	COG3265	Gluconokinase
MNHNOIJP_01541	CDS	783	gno	1.1.1.-		Gluconate 5-dehydrogenase
MNHNOIJP_01542	CDS	927		1.17.1.9		Formate dehydrogenase, mitochondrial
MNHNOIJP_01543	CDS	924	cynR_2			HTH-type transcriptional regulator CynR
MNHNOIJP_01544	CDS	804	pxpA	3.5.2.9		5-oxoprolinase subunit A
MNHNOIJP_01545	CDS	708	pxpB_1	3.5.2.9	COG2049	5-oxoprolinase subunit B
MNHNOIJP_01546	CDS	1074	pxpC_1	3.5.2.9	COG1984	5-oxoprolinase subunit C
MNHNOIJP_01547	CDS	1335	proP_1			Proline/betaine transporter
MNHNOIJP_01548	CDS	339				hypothetical protein
MNHNOIJP_01549	CDS	1326	csd_2	2.8.1.7		putative cysteine desulfurase
MNHNOIJP_01550	CDS	1536				hypothetical protein
MNHNOIJP_01551	CDS	1059				hypothetical protein
MNHNOIJP_01552	CDS	1110				hypothetical protein
MNHNOIJP_01553	CDS	1581				hypothetical protein
MNHNOIJP_01554	CDS	783				hypothetical protein
MNHNOIJP_01555	CDS	579	codB		COG1457	Cytosine permease
MNHNOIJP_01556	CDS	657	fabG_4	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
MNHNOIJP_01557	CDS	945	tgt_2	2.4.2.29		Queuine tRNA-ribosyltransferase
MNHNOIJP_01558	CDS	735				queuosine precursor transporter
MNHNOIJP_01559	CDS	966				hypothetical protein
MNHNOIJP_01560	CDS	720				hypothetical protein
MNHNOIJP_01561	CDS	654				hypothetical protein
MNHNOIJP_01562	CDS	741			COG2199	putative signaling protein
MNHNOIJP_01563	CDS	897	gltX_2	6.1.1.17	COG0008	Glutamate--tRNA ligase
MNHNOIJP_01564	CDS	609	betI_4			HTH-type transcriptional regulator BetI
MNHNOIJP_01565	CDS	561				putative protein
MNHNOIJP_01566	CDS	1116				hypothetical protein
MNHNOIJP_01567	CDS	477				hypothetical protein
MNHNOIJP_01568	CDS	1881				hypothetical protein
MNHNOIJP_01569	CDS	1080	frsA_2	3.1.-.-		Esterase FrsA
MNHNOIJP_01570	CDS	603	aqdR			HTH-type transcriptional regulator AqdR
MNHNOIJP_01571	CDS	978	pip_1	3.4.11.5		Proline iminopeptidase
MNHNOIJP_01572	CDS	459				hypothetical protein
MNHNOIJP_01573	CDS	597				hypothetical protein
MNHNOIJP_01574	CDS	615	kstR_1			HTH-type transcriptional repressor KstR
MNHNOIJP_01575	CDS	861	mmgB	1.1.1.157	COG1250	putative 3-hydroxybutyryl-CoA dehydrogenase
MNHNOIJP_01576	CDS	1044				hypothetical protein
MNHNOIJP_01577	CDS	636				hypothetical protein
MNHNOIJP_01578	CDS	348	glfT1_1	2.4.1.287	COG1216	Galactofuranosyltransferase GlfT1
MNHNOIJP_01579	CDS	807	tagH	7.5.2.4		Teichoic acids export ATP-binding protein TagH
MNHNOIJP_01580	CDS	873				hypothetical protein
MNHNOIJP_01581	CDS	570	bpa			Bacterial proteasome activator
MNHNOIJP_01582	CDS	1203			COG0520	putative protein
MNHNOIJP_01583	CDS	948	ppsC_1	2.3.1.41		Phthiocerol synthesis polyketide synthase type I PpsC
MNHNOIJP_01584	CDS	1248		1.13.12.4	COG1304	Lactate 2-monooxygenase
MNHNOIJP_01585	CDS	501	mhqR		COG1846	HTH-type transcriptional regulator MhqR
MNHNOIJP_01586	tRNA	90				tRNA-Ser(tga)
MNHNOIJP_01587	CDS	495				hypothetical protein
MNHNOIJP_01588	CDS	972				hypothetical protein
MNHNOIJP_01589	CDS	324	rmlC_1	5.1.3.13	COG1898	dTDP-4-dehydrorhamnose 3,5-epimerase
MNHNOIJP_01590	CDS	471				hypothetical protein
MNHNOIJP_01591	CDS	831				hypothetical protein
MNHNOIJP_01592	CDS	1092				hypothetical protein
MNHNOIJP_01593	CDS	861	dcsG	6.3.3.5		Cycloserine biosynthesis protein DcsG
MNHNOIJP_01594	CDS	969	aes_3	3.1.1.-		Acetyl esterase
MNHNOIJP_01595	CDS	909				hypothetical protein
MNHNOIJP_01596	CDS	1875				hypothetical protein
MNHNOIJP_01597	CDS	762	dprE2	1.1.1.333	COG1028	Decaprenylphosphoryl-2-keto-beta-D-erythro-pentose reductase
MNHNOIJP_01598	CDS	324				hypothetical protein
MNHNOIJP_01599	CDS	150				hypothetical protein
MNHNOIJP_01600	CDS	402	caiA_1	1.3.8.13		Crotonobetainyl-CoA reductase
MNHNOIJP_01601	CDS	768	dch	4.2.1.100		Cyclohexa-1,5-dienecarbonyl-CoA hydratase
MNHNOIJP_01602	CDS	600	lutR_3		COG2186	HTH-type transcriptional regulator LutR
MNHNOIJP_01603	CDS	1701	lcfB_4	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
MNHNOIJP_01604	CDS	1167	fadA_2	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase
MNHNOIJP_01605	CDS	1158	mmgC_2	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
MNHNOIJP_01606	CDS	381		4.2.1.17	COG2030	putative enoyl-CoA hydratase 1
MNHNOIJP_01607	CDS	1188	fadA_3	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase
MNHNOIJP_01608	CDS	804	fabG_5	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
MNHNOIJP_01609	CDS	690	smtB_1	2.8.3.22	COG1804	Succinyl-CoA--L-malate CoA-transferase beta subunit
MNHNOIJP_01610	CDS	342				hypothetical protein
MNHNOIJP_01611	CDS	1521				hypothetical protein
MNHNOIJP_01612	CDS	1071				hypothetical protein
MNHNOIJP_01613	CDS	1143				hypothetical protein
MNHNOIJP_01614	CDS	1167				hypothetical protein
MNHNOIJP_01615	CDS	1305				IS256 family transposase ISRer3
MNHNOIJP_01616	CDS	654				hypothetical protein
MNHNOIJP_01617	CDS	396				hypothetical protein
MNHNOIJP_01618	CDS	1254	serS_2	6.1.1.11	COG0172	Serine--tRNA ligase
MNHNOIJP_01619	CDS	2049				hypothetical protein
MNHNOIJP_01620	CDS	816				hypothetical protein
MNHNOIJP_01621	CDS	756	plsC	2.3.1.-	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
MNHNOIJP_01622	CDS	735				hypothetical protein
MNHNOIJP_01623	CDS	840	ycsE	3.1.3.104		5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YcsE
MNHNOIJP_01624	CDS	1332				hypothetical protein
MNHNOIJP_01625	CDS	330				hypothetical protein
MNHNOIJP_01626	CDS	456				hypothetical protein
MNHNOIJP_01627	CDS	1173	acdA_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
MNHNOIJP_01628	CDS	1149	uctC_3	2.8.3.19		Acetyl-CoA:oxalate CoA-transferase
MNHNOIJP_01629	CDS	1002	curA_1	1.3.1.-	COG2130	NADPH-dependent curcumin reductase
MNHNOIJP_01630	CDS	957	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
